UniqueCount	AmbigCount
3	84
0	55
0	101
0	0
0	0
0	3
0	0
0	33
0	13
0	7
1	2
0	0
0	15
0	13
0	98
0	8
0	727
0	96
0	3566
0	4
0	5
0	10
0	7
0	0
0	11
0	0
0	4
0	0
0	25
7	60
0	113
0	69
0	0
0	29
0	27
0	18
0	2
0	2
0	14
0	0
0	36
0	12
0	40
0	20
8	12
0	67
0	16
0	23
1	169
0	895
1	49
0	47
0	203
0	3006
2	18
0	0
0	11
0	18
0	7
0	18
0	9
2	13
0	21
0	8
0	1
0	11
0	4
0	8
0	5
0	65
25	48
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	11
0	160
0	167
0	929
9	2640
0	18
1	7
0	0
0	0
6	4
0	3
0	6
0	5
0	4
0	5
0	18
0	2
0	2
3	6
0	1
0	1
0	15
0	36
0	32
0	29
2	25
0	16
0	25
0	7
0	0
0	3
47	1
0	0
5	0
0	30
14	3
0	14
38	40
0	69
1	67
6	134
0	10
0	5
0	64
0	57
0	15
23	129
1	14
3	5
148	28
0	0
0	0
3	0
0	1
0	0
0	8
9	8
0	1
0	1
0	0
0	36
0	13
0	350
5	344
0	334
0	334
1	316
0	319
0	341
0	303
0	349
0	323
0	110
0	2
0	51
0	11
0	25
3	589
199	1792
0	1635
0	0
0	438
1	27
29	98
0	95
79	94
0	12
0	0
0	0
0	160
11	173
0	165
1	17
0	29
0	27
1	27
0	27
0	0
0	11
0	8
1	9
0	5
0	22
0	12
0	0
5	0
12	22
179	4612
0	4612
0	1
0	200
0	200
2	123
0	21
8	132
0	227
189	1031
0	59
0	16
1	1
0	0
0	16
0	0
1	12
0	12
5	0
0	606
0	504
0	685
0	552
2	434
53	712
0	645
1	143
13	442
0	212
3	175
0	237
0	83
0	70
0	37
0	45
0	77
0	42
0	10
23	0
0	0
0	0
0	0
0	0
94	6
0	6
7	459
0	459
0	222
0	71
0	8
5	26
0	5
0	10
0	7
6	10
46	114
12	114
0	22
24	1609
0	1537
1	1426
20	878
1	774
0	313
0	354
186	0
39	41
2	25
6	39
1	9
0	3
0	0
0	718
0	830
8	712
0	359
0	519
0	299
0	379
3	53
0	458
0	255
0	59
0	102
0	267
55	360
5	211
6	9
0	65
6	73
0	132
1	2
0	0
0	0
0	150
0	107
2	124
0	142
0	132
7	12
1	123
0	2
0	24
13	376
0	350
12	284
0	222
2	9
0	0
4	39
0	45
0	7
0	42
0	23
16	10
0	10
0	1
0	5
0	1
3	7
0	5
5	5
0	95
0	148
0	141
0	55
0	114
0	142
0	9
0	124
0	113
0	89
0	153
0	109
0	146
0	112
0	106
0	128
0	134
0	79
0	141
0	138
0	125
0	188
0	0
0	68
0	18
0	4
2	9
0	31
0	1
0	6
0	32
1	15
0	19
0	28
0	28
0	31
0	1
0	1
0	20
0	0
0	33
0	33
1	26
0	25
0	19
0	12
0	10
0	8
0	11
0	5
1	8
0	0
1	6
0	180
261	233
15	72
9	0
0	2130
414	2153
0	1599
0	0
0	156
0	12
1	27
0	34
0	25
0	34
0	8
0	7
0	13
0	0
2	1
28	1094
209	971
90	988
1	989
0	90
24	121
2	0
129	377
0	296
47	258
0	337
0	398
0	336
0	305
1	330
0	300
0	201
0	165
0	74
0	34
4	49
0	15
0	46
0	3
16	45
38	3
1	16
0	32
2	95
0	84
0	8
0	3
0	80
0	78
0	41
349	1270
0	746
8	985
0	63
0	512
0	0
2	142
2	7
0	135
37	150
0	136
0	66
0	52
0	1
0	0
66	57
0	0
0	52
0	49
0	2
85	508
0	508
2	0
1612	323
0	48
4	117
40	503
5	458
2	59
