UniqueCount	AmbigCount
1	89
0	56
1	71
0	0
0	0
0	1
0	0
0	29
0	13
0	4
3	1
0	0
0	23
0	16
0	104
0	3
0	757
0	101
1	3672
0	6
0	4
0	11
0	4
0	1
0	14
0	0
0	4
0	0
0	15
13	60
0	101
0	56
0	0
0	36
0	36
0	18
0	5
0	2
0	14
0	0
1	38
0	12
0	35
0	23
10	9
1	72
0	16
0	30
0	179
0	928
1	53
0	56
0	217
0	3000
3	14
0	0
0	4
1	21
0	8
0	22
0	11
0	16
0	24
0	1
0	1
0	18
0	5
0	17
0	11
0	71
26	61
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	16
0	9
0	170
0	178
0	978
7	2649
0	14
0	4
0	0
0	0
10	4
0	6
0	8
0	6
0	5
0	3
0	18
0	2
3	2
1	10
0	0
0	0
1	17
0	37
0	32
0	31
0	27
0	21
0	24
0	11
0	1
0	3
63	2
0	1
2	0
0	32
10	3
0	14
37	31
0	58
0	71
10	129
1	6
0	2
0	51
0	51
0	15
25	126
4	15
3	3
115	24
0	1
0	1
1	1
1	3
0	0
0	6
3	6
0	1
0	1
0	0
0	38
0	14
0	369
11	371
0	357
0	356
2	341
0	336
3	361
0	326
0	373
0	335
0	107
0	2
0	49
0	14
0	30
3	622
184	1910
0	1742
0	0
0	467
0	28
45	107
0	103
92	109
0	18
0	0
0	0
0	168
15	177
0	172
7	12
0	36
0	14
0	14
0	14
0	0
0	1
2	1
1	1
0	1
0	25
0	17
0	0
2	0
11	25
155	4486
0	4486
0	1
0	219
0	178
0	103
0	10
2	134
0	191
198	1065
0	68
0	21
0	5
0	0
0	21
0	0
2	17
0	12
1	0
0	637
0	532
0	687
0	580
4	473
44	724
0	675
0	163
12	471
1	214
1	166
0	202
0	68
0	61
0	31
0	49
0	83
0	38
0	12
23	0
0	0
0	0
0	0
0	0
93	14
0	14
4	507
1	507
0	257
0	87
0	14
3	23
0	11
0	13
0	4
2	10
49	111
9	111
0	16
21	1683
0	1608
3	1485
14	888
0	781
0	338
0	378
194	0
43	44
0	21
11	46
1	15
0	4
0	0
0	691
0	790
6	710
4	370
0	544
0	309
0	376
1	55
0	454
0	270
0	60
0	121
0	280
51	360
6	213
3	4
0	63
1	74
0	132
0	8
0	0
0	0
1	155
0	108
4	123
0	140
0	126
4	8
0	126
0	2
0	27
15	356
0	335
8	267
0	211
1	5
0	0
9	50
0	51
0	10
0	42
0	26
16	12
0	13
0	0
0	6
0	3
1	3
0	4
4	4
0	83
0	138
0	131
0	47
0	110
0	131
0	10
0	127
0	111
1	86
0	146
0	105
0	136
0	110
0	105
0	117
0	126
0	80
0	130
0	137
0	113
0	169
0	0
0	64
0	20
0	10
1	11
0	25
0	0
0	4
0	24
0	13
0	11
4	23
0	22
0	22
0	1
0	0
0	12
0	0
0	25
0	27
1	26
0	15
0	13
0	10
0	7
0	5
1	9
0	4
0	4
0	0
0	5
0	189
260	246
19	81
3	0
0	2152
392	2175
0	1654
0	0
1	163
0	25
1	36
0	45
0	27
0	43
0	17
0	15
0	11
0	2
0	1
24	1072
213	931
59	939
1	936
0	104
26	141
0	0
122	406
0	322
50	281
0	349
0	413
0	367
0	324
1	340
0	321
0	216
0	169
0	108
0	45
1	56
0	17
0	29
0	3
15	28
34	3
1	9
0	30
1	107
0	93
0	7
0	3
0	81
0	86
0	53
383	1264
0	758
9	984
0	67
0	486
0	0
3	141
1	3
0	135
27	148
0	138
0	63
0	49
0	0
0	0
47	51
0	0
0	39
3	48
0	1
61	505
0	506
2	1
1585	293
0	43
2	124
48	514
5	475
0	64
0	276
0	180
11	713
2	689
0	668
0	668
6	7
0	74
1	85
0	0
0	0
0	0
612	1368
0	988
10	395
172	133
6	3
0	0
0	0
1	0
0	0
88	5
0	499
0	511
0	453
0	507
70	529
0	449
0	487
0	14
0	46
0	415
0	47
0	336
0	1
0	0
0	83
0	479
0	267
1	54
0	445
0	410
6	20
0	27
0	389
1	55
0	17
0	27
0	37
0	142
0	103
25	176
0	65
0	57
